wojewodztwo;powiat;miasto;kod_pocztowy;ulica;typ_ulica
mazowieckie;M. Warszawa;Warszawa;02-495;1 Maja;ul.
lubelskie;M. Lublin;Lublin;20-410;1 Maja;ul.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-100;1 Maja;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-200;1 Maja;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;1 Maja;ul.
œl¹skie;M. Œwiêtoch³owice;Œwiêtoch³owice;41-600;1 Maja;ul.
œl¹skie;M. Zabrze;Zabrze;41-800;1 Maja;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;1 Maja;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;1 Maja;ul.
œl¹skie;miko³owski;Miko³ów;43-190;1 Maja;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;1 Maja;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-600;1 Maja;ul.
œl¹skie;M. Rybnik;Rybnik;44-206;1 Maja;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-330;1 Maja;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-220;1 Maja;ul.
opolskie;brzeski;Brzeg;49-305;1 Maja;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-404;1 Maja;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-627;1 Maja;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-800;1 Maja;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-117;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-717;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-224;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-237;1 Maja;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-614;1 Maja;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-710;1 Maja;ul.
opolskie;M. Opole;Opole;45-355;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-236;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-739;1 Maja;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-119;1 Maja;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-706;1 Maja;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-118;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-284;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-718;1 Maja;ul.
opolskie;M. Opole;Opole;45-068;1 Maja;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-202;1 Maja;ul.
pomorskie;M. Sopot;Sopot;81-807;1 Maja;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-120;1 Maja;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-646;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-225;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-287;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-741;1 Maja;ul.
opolskie;M. Opole;Opole;45-356;1 Maja;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-709;1 Maja;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-700;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-228;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-740;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-756;1 Maja;ul.
opolskie;M. Opole;Opole;45-357;1 Maja;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-511;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-229;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-230;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-755;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-240;1 Maja;ul.
opolskie;M. Opole;Opole;45-069;1 Maja;ul.
pomorskie;M. Sopot;Sopot;81-828;1 Maja;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-217;1 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-766;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-235;1 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-239;1 Maja;ul.
mazowieckie;M. Warszawa;Warszawa;04-053;1 Praskiego Pu³ku;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-075;1 Praskiego Pu³ku;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-077;1 Praskiego Pu³ku;ul.
mazowieckie;M. Warszawa;Warszawa;02-134;1 Sierpnia;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-400;10 Lutego;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-303;10 Lutego;ul.
pomorskie;M. Gdynia;Gdynia;81-364;10 Lutego;ul.
pomorskie;M. Gdynia;Gdynia;81-366;10 Lutego;ul.
opolskie;M. Opole;Opole;45-828;10 Sudeckiej Dywizji Zmechanizowanej;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-280;10 Zak³adników;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-268;1000-Lecia;Osiedle
œl¹skie;M. Mys³owice;Mys³owice;41-400;1000-Lecia Pañstwa Polskiego;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-324;11 Dywizjonu Artylerii Konnej;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-216;11 Listopada;Al.
œl¹skie;M. Czêstochowa;Czêstochowa;42-229;11 Listopada;Al.
œl¹skie;M. Czêstochowa;Czêstochowa;42-208;11 Listopada;Al.
podlaskie;M. Bia³ystok;Bia³ystok;15-320;11 Listopada;ul.
lubelskie;M. Lublin;Lublin;20-378;11 Listopada;ul.
œl¹skie;M. Katowice;Katowice;40-387;11 Listopada;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;11 Listopada;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-408;11 Listopada;ul.
œl¹skie;M. Chorzów;Chorzów;41-500;11 Listopada;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-717;11 Listopada;ul.
œl¹skie;M. Zabrze;Zabrze;41-807;11 Listopada;ul.
œl¹skie;M. Bytom;Bytom;41-933;11 Listopada;ul.
œl¹skie;zawierciañski;Zawiercie;42-400;11 Listopada;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;11 Listopada;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-680;11 Listopada;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;11 Listopada;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-600;11 Listopada;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-330;11 Listopada;ul.
opolskie;M. Opole;Opole;45-086;11 Listopada;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-220;11 Listopada;ul.
pomorskie;M. Gdañsk;Gdañsk;80-180;11 Listopada;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-624;11 Listopada;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-370;11 Listopada;ul.
mazowieckie;M. Radom;Radom;26-605;11 Listopada;ul.
mazowieckie;M. Warszawa;Warszawa;03-447;11 Listopada;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-103;11 Listopada;ul.
mazowieckie;M. Radom;Radom;26-613;11 Listopada;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-219;11 Listopada;ul.
mazowieckie;M. Warszawa;Warszawa;03-435;11 Listopada;ul.
mazowieckie;M. Radom;Radom;26-609;11 Listopada;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-208;11 Listopada;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-104;11 Listopada;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-643;11 Listopada;ul.
mazowieckie;M. Warszawa;Warszawa;03-436;11 Listopada;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-371;11 Listopada;ul.
mazowieckie;M. Radom;Radom;26-615;11 Listopada;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-372;11 Listopada;ul.
mazowieckie;M. Warszawa;Warszawa;03-437;11 Listopada;ul.
mazowieckie;M. Warszawa;Warszawa;03-445;11 Listopada;ul.
mazowieckie;M. Warszawa;Warszawa;03-504;11 Listopada;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-373;11 Listopada;ul.
mazowieckie;M. Warszawa;Warszawa;03-446;11 Listopada;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-218;11 Listopada;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-374;11 Maja;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;11 Pu³ku Piechoty;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-308;12 Lutego;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-344;13 Zakrêtów;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-825;15 Dywizji Piechoty Wielkopolskiej;ul.
œl¹skie;M. Chorzów;Chorzów;41-506;15 Grudnia;Pl.
œl¹skie;bêdziñski;Bêdzin;42-500;15 Grudnia;ul.
œl¹skie;miko³owski;Miko³ów;43-195;15 Grudnia;ul.
œl¹skie;M. Gliwice;Gliwice;44-113;15 Grudnia;ul.
mazowieckie;M. Warszawa;Warszawa;03-173;15 Sierpnia;ul.
œl¹skie;M. Chorzów;Chorzów;41-506;16 Lipca;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-319;16 Pu³ku U³anów Wielkopolskich;ul.
